SchemaVersion,LoggerVersion,SessionID,UserID,TimeStamp,Minute,Second,UserX,UserY,UserZ,SceneRadius,ObjX,ObjY,ObjZ,ObjRadius,ObjDeltaX,ObjDeltaY,ObjDeltaZ,ObjDeltaRadius,VertexDelta,NgonDelta,TriDelta,NormalDelta,ObjModeState,EditModeState,ModeChanged,UV,ObjectDelta,ModifierDelta,CtrlV,ShiftD,AltD,Merge,Occlusion
1,,,b3cef250,1777534580.28,0,0.18,6.27,7.07,0.64,5.84,0.0,5.74,0.0,2.04,0.0,5.74,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534583.96,0,3.87,5.07,6.82,0.58,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534584.22,0,4.13,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534586.51,0,6.41,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,12,0,0,5,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534586.76,0,6.66,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534587.02,0,6.92,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534587.27,0,7.17,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534587.77,0,7.68,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534588.04,0,7.94,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534588.55,0,8.46,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534594.14,0,14.04,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,12,0,0,5,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534594.4,0,14.31,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534594.67,0,14.57,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534594.92,0,14.83,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534597.2,0,17.11,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,12,0,0,5,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534597.47,0,17.38,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534597.74,0,17.64,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534597.99,0,17.89,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534599.0,0,18.91,4.07,6.61,0.53,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534602.53,0,22.44,4.11,6.01,0.96,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534603.04,0,22.95,5.13,6.1,1.09,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534607.61,0,27.52,5.13,6.1,1.09,5.84,0.0,5.74,0.0,2.06,0.0,0.0,0.0,0.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534607.87,0,27.78,5.13,6.1,1.09,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,-0.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534611.17,0,31.08,4.86,7.61,0.45,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534611.42,0,31.33,4.39,8.63,0.45,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534611.68,0,31.59,3.51,9.79,0.75,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534611.93,0,31.84,3.33,9.96,0.84,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534612.95,0,32.86,4.03,9.16,0.79,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534613.2,0,33.11,4.8,7.28,1.64,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534613.46,0,33.36,4.63,7.89,1.43,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534613.73,0,33.64,3.74,9.42,1.35,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534614.0,0,33.9,2.85,10.39,0.79,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,,,b3cef250,1777534614.25,0,34.15,2.44,10.71,0.24,5.84,0.0,5.74,0.0,2.04,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
