SchemaVersion,LoggerVersion,SessionID,UserID,TimeStamp,Minute,Second,UserX,UserY,UserZ,SceneRadius,ObjX,ObjY,ObjZ,ObjRadius,ObjDeltaX,ObjDeltaY,ObjDeltaZ,ObjDeltaRadius,VertexDelta,NgonDelta,TriDelta,NormalDelta,ObjModeState,EditModeState,ModeChanged,UV,ObjectDelta,ModifierDelta,CtrlV,ShiftD,AltD,Merge,Occlusion
1,,,62753a1a,1777548174.6,0,2.5,15.03,-6.69,8.19,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548174.85,0,2.76,21.66,-9.62,11.8,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548175.61,0,3.52,25.99,-11.53,14.16,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548176.12,0,4.03,21.66,-9.62,11.8,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548176.37,0,4.28,9.62,-24.7,0.25,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548176.62,0,4.53,6.09,-25.79,0.84,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548177.63,0,5.54,7.52,-25.41,0.69,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548177.89,0,5.8,20.24,-16.75,3.35,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548178.14,0,6.05,24.13,-9.29,5.68,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548178.4,0,6.3,23.74,-1.83,11.53,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548178.65,0,6.56,21.66,5.85,13.99,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548180.93,0,8.84,26.0,7.03,16.79,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548181.7,0,9.61,53.94,14.62,34.83,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548181.95,0,9.86,64.74,17.56,41.79,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548182.21,0,10.11,18.05,4.86,11.66,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548182.46,0,10.37,7.24,1.92,4.68,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548182.72,0,10.63,6.03,1.59,3.9,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548197.39,0,25.3,8.69,2.32,5.62,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548197.64,0,25.55,12.53,3.36,8.1,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548198.65,0,26.56,10.43,2.79,6.75,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548198.91,0,26.82,5.02,1.32,3.25,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548199.42,0,27.32,7.24,1.92,4.68,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548202.2,0,30.11,6.03,1.59,3.9,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,,,62753a1a,1777548202.46,0,30.37,5.02,1.32,3.25,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
