USER_ID,Elapsed,Minute,Second,UserX,UserY,UserZ,SceneRadius,ObjX,ObjY,ObjZ,ObjRadius,VertexDelta,NgonDelta,TriDelta,NormalDelta,ObjMode,EditMode,UV,ObjectDelta,ModifierDelta,CtrlV,ShiftD,AltD,Merge
808fd42c,0.01,0,0.01,15.04,-6.7,8.2,6.24,0.0,0.0,0.0,1.73,1,0,0,0,1,0,0,1,0,0,0,0,0
808fd42c,1.01,0,1.01,15.04,-6.7,8.2,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,2.01,0,2.01,15.04,-6.7,8.2,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,3.01,0,3.01,15.04,-6.7,8.2,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,4.01,0,4.01,15.04,-6.7,8.2,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,5.02,0,5.02,15.04,-6.7,8.2,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,6.02,0,6.02,15.04,-6.7,8.2,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,7.02,0,7.02,15.04,-6.7,8.2,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,8.02,0,8.02,15.04,-6.7,8.2,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,9.03,0,9.03,15.04,-6.7,8.2,7.41,0.0,0.0,0.0,1.73,1,1,0,0,0,0,0,1,0,0,1,0,0
808fd42c,10.03,0,10.03,15.04,-6.7,8.2,7.41,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,11.03,0,11.03,15.04,-6.7,8.2,7.41,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,12.03,0,12.03,15.04,-6.7,8.2,6.24,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0
808fd42c,13.03,0,13.03,8.81,-3.95,4.81,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,14.04,0,14.04,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,15.04,0,15.04,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,16.04,0,16.04,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,17.04,0,17.04,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0808fd42c,19.05,0,19.05,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,20.05,0,20.05,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,21.05,0,21.05,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,22.05,0,22.05,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,23.06,0,23.06,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,24.06,0,24.06,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,25.07,0,25.07,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,26.07,0,26.07,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,27.07,0,27.07,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,28.08,0,28.08,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,29.08,0,29.08,6.93,-3.12,3.79,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,30.08,0,30.08,7.52,-3.79,1.12,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,31.09,0,31.09,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,32.09,0,32.09,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,33.1,0,33.1,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,34.1,0,34.1,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,35.1,0,35.1,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,36.1,0,36.1,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,37.1,0,37.1,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,38.11,0,38.11,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,39.11,0,39.11,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,40.11,0,40.11,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,41.12,0,41.12,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,43.46,0,43.46,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,44.46,0,44.46,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
808fd42c,45.46,0,45.46,8.27,-1.85,0.41,6.24,0.0,0.0,0.0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
