USER_ID,TimeStamp,Minute,Second,UserX,UserY,UserZ,SceneRadius,ObjX,ObjY,ObjZ,ObjRadius,ObjDeltaX,ObjDeltaY,ObjDeltaZ,ObjDeltaRadius,VertexDelta,NgonDelta,TriDelta,NormalDelta,ObjModeState,EditModeState,ModeChanged,UV,ObjectDelta,ModifierDelta,CtrlV,ShiftD,AltD,Merge,Occlusion
b3cef250,1777533842.23,1,29.75,11.34,7.66,12.22,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533842.5,1,30.02,8.29,12.54,10.51,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533842.75,1,30.27,8.99,15.18,4.96,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533843.01,1,30.53,17.76,4.05,2.2,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533843.27,1,30.79,18.03,2.67,2.2,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533843.53,1,31.05,15.02,2.22,1.83,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533843.79,1,31.31,8.68,1.26,1.06,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533844.04,1,31.56,7.23,1.04,0.88,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533844.31,1,31.83,31.17,4.65,3.8,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533845.06,1,32.58,30.52,5.87,6.42,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533845.31,1,32.83,28.22,8.57,11.73,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533845.57,1,33.09,9.43,2.84,3.93,1.73,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533848.61,1,36.13,9.43,2.84,3.93,1.73,0.0,0.0,0.46,1.73,0.0,0.0,0.46,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533848.89,1,36.4,9.43,2.84,3.93,1.73,0.0,0.0,0.84,1.73,0.0,0.0,0.37,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533849.16,1,36.68,9.43,2.84,3.93,1.73,0.0,0.0,1.36,1.73,0.0,0.0,0.52,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533849.42,1,36.94,9.43,2.84,3.93,1.73,0.0,0.0,1.32,1.73,0.0,0.0,-0.03,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533850.19,1,37.71,9.68,2.33,3.65,1.73,0.0,0.0,1.32,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b3cef250,1777533850.44,1,37.96,10.15,0.76,3.01,1.73,0.0,0.0,1.32,1.73,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
